,sur_place,livraison,semaine,jour,year,month,date,time,icon,precipintensity,temperature,humidity,pressure,vrai,predict
8507,À emporter,Deliveroo,5,4,2018,8,3,1533319200,partly-cloudy-day,0.0,34.82,0.35,1016.27,0.0,0.0
5583,Livraison,AlloResto,1,4,2018,2,26,1519671600,clear-night,0.0,-3.22,0.36,1015.03,0.0,0.0
12207,Sur place,,7,4,2019,3,24,1553454000,clear-night,0.0,14.73,0.52,1023.52,0.0,-4.574404761904761
1796,Livraison,KM CLICK & COLLECT,6,4,2017,5,6,1494093600,partly-cloudy-day,0.0,13.18,0.83,1015.52,4.0,2.8732698412698414
4355,,,1,2,2017,12,11,1512990000,rain,0.67,10.11,0.8,984.07,-1.0,-0.096
3634,Livraison,KM,3,2,2017,10,18,1508320800,clear-day,0.0,20.86,0.47,1015.89,0.0,-0.7783571428571429
3685,À emporter,,6,4,2017,10,21,1508608800,rain,0.16,13.25,0.81,1021.75,0.0,1.5196666666666665
8756,Sur place,,4,2,2018,8,16,1534413600,partly-cloudy-day,0.0,27.22,0.45,1016.52,0.0,0.0
3904,Limonade,,3,4,2017,11,8,1510167600,cloudy,0.0,5.49,0.81,1021.75,0.0,0.0
10997,Sur place,,2,4,2019,1,1,1546369200,cloudy,0.0,6.52,0.75,1034.25,0.0,-3.2897857142857148
9218,Livraison,Deliveroo,7,4,2018,9,9,1536516000,partly-cloudy-night,0.0,27.44,0.3,1020.76,0.0,0.0
9419,Livraison,UberEats,5,4,2018,9,21,1537552800,cloudy,0.16,17.35,0.64,1020.75,0.0,0.0
11075,Sur place,,1,2,2019,1,7,1546858800,cloudy,0.0,4.38,0.72,1034.17,0.0,-0.512
6392,Livraison,AlloResto,2,4,2018,4,10,1523383200,partly-cloudy-day,0.0,13.38,0.57,1003.51,0.0,0.0
13615,Sur place,,2,3,2019,6,25,1561471200,partly-cloudy-day,0.0,35.45,0.29,1018.31,0.0,0.0
11292,Limonade,,2,4,2019,1,22,1548183600,fog,0.05,1.16,0.76,1006.0,0.0,-0.06
6440,Limonade,,5,2,2018,4,13,1523613600,partly-cloudy-day,0.0,15.38,0.57,1010.74,0.0,0.0
11360,Sur place,,7,2,2019,1,27,1548586800,rain,0.18,9.62,0.61,998.47,0.0,0.0
9254,Livraison,KM,3,2,2018,9,12,1536746400,clear-day,0.0,29.08,0.33,1022.57,0.0,-0.4443333333333333
9964,Livraison,UberEats,4,4,2018,10,25,1540490400,cloudy,0.0,12.91,0.79,1018.93,0.0,0.0
10548,Livraison,KM,5,4,2018,11,30,1543604400,partly-cloudy-night,0.01,7.97,0.9,1019.34,0.0,-6.503833333333332
10994,Limonade,,2,4,2019,1,1,1546369200,cloudy,0.0,6.52,0.75,1034.25,0.0,0.0
13583,Livraison,Deliveroo,7,2,2019,6,23,1561284000,partly-cloudy-day,0.0,24.91,0.57,1015.37,0.0,0.0
6972,Livraison,Foodora,7,4,2018,5,13,1526234400,rain,1.59,7.64,0.87,1015.52,0.0,0.0
12623,Limonade,,7,2,2019,4,21,1555840800,cloudy,0.0,16.83,0.53,1017.57,0.0,0.0
12869,Limonade,,2,2,2019,5,7,1557223200,partly-cloudy-day,0.0,13.8,0.38,1017.26,0.0,0.0
3187,Sur place,,2,4,2017,8,29,1504029600,cloudy,0.0,31.98,0.34,1010.13,0.0,21.023468253968254
1652,Livraison,KM CLICK & COLLECT,3,4,2017,4,26,1493229600,rain,0.08,6.54,0.86,1013.5,2.0,7.422164502164502
3372,Livraison,,5,2,2017,9,22,1506074400,partly-cloudy-day,0.0,19.77,0.53,1021.27,0.0,-0.011666666666666665
1497,Sur place,,7,3,2017,4,16,1492351200,partly-cloudy-day,0.0,16.86,0.47,1021.24,0.0,1.9758809523809524
11678,À emporter,,7,4,2019,2,17,1550430000,clear-night,0.0,12.32,0.48,1024.83,0.0,-2.3210238095238096
3229,Livraison,KM,7,4,2017,9,3,1504461600,partly-cloudy-day,0.0,19.61,0.47,1013.79,0.0,-0.612
13339,Limonade,,5,2,2019,6,7,1559901600,clear-day,0.0,24.18,0.28,1009.28,0.0,-0.02
4419,À emporter,,5,2,2017,12,15,1513335600,partly-cloudy-day,0.0,8.7,0.63,1004.81,0.0,5.170253968253968
10171,À emporter,,4,2,2018,11,8,1541674800,cloudy,0.0,10.72,0.87,1019.94,0.0,0.0
8566,Livraison,KM,1,4,2018,8,6,1533578400,partly-cloudy-day,0.15,34.65,0.29,1013.2,0.0,-1.214904761904762
10060,À emporter,,4,3,2018,11,1,1541084400,rain,0.29,12.54,0.77,1014.33,0.0,0.0
1906,À emporter,,7,3,2017,5,14,1494770400,partly-cloudy-day,0.0,21.96,0.52,1023.6,2.0,0.8420000000000001
8229,Sur place,,4,2,2018,7,19,1531994400,clear-day,0.0,28.09,0.39,1015.84,0.0,0.0
735,Livraison,UberEats,4,4,2017,2,23,1487876400,cloudy,0.0,14.69,0.51,1009.58,16.0,25.1386746031746
860,Sur place,,5,4,2017,3,3,1488567600,cloudy,0.0,14.14,0.54,1001.19,36.0,23.7214126984127
12172,Limonade,,5,3,2019,3,22,1553266800,clear-day,0.0,20.21,0.25,1027.19,0.0,0.0
11878,Livraison,UberEats,5,4,2019,3,1,1551466800,cloudy,0.01,9.97,0.68,1022.83,0.0,0.0
7653,Livraison,Foodora,7,4,2018,6,17,1529258400,cloudy,,21.28,0.5,,0.0,0.0
11178,Livraison,UberEats,1,3,2019,1,14,1547478000,cloudy,0.04,8.05,0.75,1021.28,0.0,-0.1
12537,Sur place,,1,3,2019,4,15,1555336800,partly-cloudy-day,0.0,17.94,0.3,1015.42,0.0,-0.06
11731,Sur place,,4,1,2019,2,21,1550739600,partly-cloudy-day,0.0,6.37,0.74,1029.19,0.0,-0.059000000000000004
8459,Sur place,,3,3,2018,8,1,1533132000,partly-cloudy-day,0.0,32.38,0.4,1017.69,0.0,0.0
12284,À emporter,,6,2,2019,3,30,1553943600,clear-day,0.0,17.65,0.3,1024.2,0.0,-0.08085714285714285
6029,Limonade,,3,2,2018,3,21,1521630000,partly-cloudy-day,0.0,5.96,0.45,1023.46,0.0,0.0
9923,Limonade,,2,2,2018,10,23,1540288800,partly-cloudy-day,0.0,12.47,0.66,1030.24,0.0,0.0
1259,Livraison,AlloResto,4,4,2017,3,30,1490896800,partly-cloudy-day,0.0,21.25,0.32,1020.94,10.0,8.623912698412699
1278,Livraison,UberEats,5,4,2017,3,31,1490983200,cloudy,0.0,18.4,0.36,1015.09,31.0,39.20036507936507
12056,Sur place,,3,4,2019,3,13,1552503600,partly-cloudy-night,0.12,8.09,0.73,1021.2,0.0,-7.047078643578643
6876,,,2,4,2018,5,8,1525802400,partly-cloudy-day,0.0,18.65,0.64,1007.54,-8.0,-4.678460317460317
11974,Sur place,,5,3,2019,3,8,1552057200,partly-cloudy-day,0.04,13.35,0.48,1020.92,0.0,0.0
12939,À emporter,KM,6,4,2019,5,11,1557597600,partly-cloudy-day,0.11,14.28,0.62,1021.46,0.0,-0.0625
13578,Livraison,UberEats,6,4,2019,6,22,1561226400,partly-cloudy-day,0.01,23.7,0.54,1015.7,0.0,0.0
3571,Limonade,,5,2,2017,10,13,1507888800,partly-cloudy-day,0.0,17.88,0.7,1027.59,0.0,-0.01
3444,Livraison,KM,7,4,2017,10,1,1506880800,cloudy,0.0,15.91,0.68,1021.37,0.0,-4.771238095238096
8303,Livraison,UberEats,1,4,2018,7,23,1532368800,clear-day,0.0,29.02,0.37,1014.52,0.0,0.0
8568,Sur place,,1,4,2018,8,6,1533578400,partly-cloudy-day,0.15,34.65,0.29,1013.2,0.0,0.0
6011,Livraison,AlloResto,2,2,2018,3,20,1521543600,cloudy,0.0,3.55,0.62,1013.53,0.0,0.0
8780,Limonade,,5,3,2018,8,17,1534514400,partly-cloudy-day,0.21,24.17,0.65,1018.24,0.0,0.0
2054,Sur place,,3,4,2017,5,24,1495648800,partly-cloudy-day,0.0,24.31,0.45,1019.42,24.0,16.915437229437227
2354,Sur place,,5,2,2017,6,16,1497607200,partly-cloudy-day,0.0,25.77,0.54,1022.04,78.0,30.97076190476191
749,Livraison,Foodora,5,4,2017,2,24,1487962800,cloudy,0.0,7.26,0.62,1019.78,32.0,32.549460317460316
4234,Sur place,,7,2,2017,12,3,1512298800,cloudy,0.0,0.0,0.73,1030.06,0.0,58.17630830280828
9752,Livraison,UberEats,4,4,2018,10,11,1539280800,clear-night,0.0,21.69,0.62,1016.37,0.0,0.0
10849,Sur place,,3,4,2018,12,19,1545246000,partly-cloudy-night,0.04,6.73,0.92,1019.31,0.0,0.0
9784,Livraison,Deliveroo,6,3,2018,10,13,1539439200,clear-day,0.0,26.72,0.35,1018.23,0.0,0.0
11693,À emporter,KM,1,4,2019,2,18,1550516400,partly-cloudy-night,0.0,10.6,0.6,1022.05,0.0,-0.7957142857142857
10098,,,6,4,2018,11,3,1541271600,cloudy,0.0,9.59,0.81,1022.6,-7.0,-3.8063290043290037
3652,Limonade,,4,4,2017,10,19,1508436000,cloudy,0.0,18.94,0.49,1012.27,0.0,0.0
9478,À emporter,,2,4,2018,9,25,1537898400,clear-night,0.0,17.09,0.41,1030.11,0.0,0.0
4454,Limonade,,7,3,2017,12,17,1513522800,partly-cloudy-day,0.0,3.58,0.86,1028.37,0.0,0.0
7794,Livraison,Foodora,2,3,2018,6,26,1530021600,partly-cloudy-day,,27.4,0.35,,0.0,0.0
1168,Livraison,Deliveroo,5,3,2017,3,24,1490367600,partly-cloudy-day,0.0,11.91,0.79,1020.01,9.0,5.588642857142856
9771,Limonade,,5,4,2018,10,12,1539367200,partly-cloudy-night,0.0,21.36,0.6,1023.09,0.0,0.0
7879,,,6,4,2018,6,30,1530381600,clear-day,,32.28,0.29,,-12.0,-2.2815
6402,Livraison,AlloResto,3,2,2018,4,11,1523440800,cloudy,0.0,12.75,0.62,1002.35,0.0,0.0
7765,Livraison,Foodora,7,4,2018,6,24,1529863200,clear-day,,23.27,0.35,,0.0,0.0
4682,Sur place,,6,3,2018,1,6,1515250800,partly-cloudy-day,0.0,12.61,0.71,1004.23,0.0,0.0
1035,Livraison,UberEats,3,4,2017,3,15,1489604400,partly-cloudy-night,0.0,12.87,0.66,1027.53,12.0,20.05553968253968
13152,Sur place,,6,3,2019,5,25,1558792800,partly-cloudy-day,0.18,23.17,0.44,1015.43,0.0,-0.006666666666666666
2268,Livraison,UberEats,5,4,2017,6,9,1497031200,cloudy,0.0,24.9,0.51,1015.72,17.0,34.92357142857142
12180,À emporter,,6,2,2019,3,23,1553338800,clear-day,0.0,17.34,0.41,1026.56,0.0,-0.064
8368,Livraison,UberEats,5,4,2018,7,27,1532714400,partly-cloudy-day,0.0,33.64,0.25,1009.2,0.0,0.0
11820,À emporter,KM,2,4,2019,2,26,1551207600,partly-cloudy-night,0.0,11.21,0.61,1029.92,0.0,-2.6572142857142853
1861,Sur place,,4,3,2017,5,11,1494511200,rain,0.31,15.36,0.81,998.9,2.0,1.2993809523809523
2726,Sur place,,6,2,2017,7,15,1500112800,partly-cloudy-day,0.0,23.91,0.46,1021.49,31.0,14.075222222222221
13549,Sur place,,4,4,2019,6,20,1561053600,partly-cloudy-day,0.04,22.83,0.62,1015.26,-8.0,-1.234595238095238
9956,À emporter,,4,3,2018,10,25,1540476000,cloudy,0.0,13.9,0.73,1019.38,0.0,0.0
739,Livraison,Deliveroo,5,2,2017,2,24,1487934000,partly-cloudy-day,0.0,9.62,0.57,1016.83,6.0,7.370706349206349
5968,À emporter,,6,4,2018,3,17,1521313200,partly-cloudy-night,0.0,7.11,0.77,996.56,0.0,0.0
2215,Livraison,Deliveroo,1,4,2017,6,5,1496685600,partly-cloudy-day,0.0,21.75,0.45,1011.0,48.0,28.772666666666666
61,Livraison,UberEats,5,2,2017,1,6,1483700400,partly-cloudy-day,0.0,-0.53,0.63,1036.9,1.0,9.395777777777774
6652,Livraison,KM,3,4,2018,4,25,1524679200,partly-cloudy-day,0.0,18.18,0.6,1016.74,0.0,-7.132277777777778
3579,Livraison,KM,5,4,2017,10,13,1507917600,partly-cloudy-night,0.0,16.45,0.71,1025.98,0.0,-0.18600000000000003
